RIVPACS Model,End Group,Season Code,Season,TL1 BMWP,TL1 NTAXA,TL1 ASPT,"TL2 WHPT Score (nonAb,DistFam)","TL2 WHPT NTAXA (nonAb,DistFam)","TL2 WHPT ASPT (nonAb,DistFam)","TL2 WHPT Score (nonAb,CompFam)","TL2 WHPT NTAXA (nonAb,CompFam)","TL2 WHPT ASPT (nonAb,CompFam)","TL2 WHPT Score (AbW,DistFam)","TL2 WHPT NTAXA (AbW,DistFam)","TL2 WHPT ASPT (AbW,DistFam)","TL2 WHPT Score (AbW,CompFam)","TL2 WHPT NTAXA (AbW,CompFam)","TL2 WHPT ASPT (AbW,CompFam)","TL1 WHPT Score (nonAb,CompFam)","TL1 WHPT NTAXA (nonAb,CompFam)","TL1 WHPT ASPT (nonAb,CompFam)","TL1 WHPT Score (AbW,CompFam)","TL1 WHPT NTAXA (AbW,CompFam)","TL1 WHPT ASPT (AbW,CompFam)",TL1 AWIC(Fam),TL4 AWIC(Sp) Murphy,TL5 AWIC(Sp) Murphy,TL4 WFD AWIC(Sp) McFarland,TL5 WFD AWIC(Sp) McFarland,TL4 Raddum,TL5 Raddum,TL4 SEPA % Acid Sensitive Taxa,TL5 SEPA % Acid Sensitive Taxa,TL4 MetTol,TL5 MetTol,TL1/2 LIFE(Fam) (CompFam),TL2 LIFE(Fam) (DistFam),TL3 LIFE(Fam) (DistFam),TL4 LIFE(Sp),TL5 LIFE(Sp),TL4 DEHLI(Sp),TL5 DEHLI(Sp),TL3 PSI(Fam),TL4 PSI(Sp),TL5 PSI(Sp),TL3 E-PSI(fam69),TL4 E-PSI(mixed level),TL5 E-PSI(mixed level),TL4 oFSIsp,TL5 oFSIsp,TL4 ToFSIsp,TL5 ToFSIsp,TL4 CoFSIsp,TL5 CoFSIsp,TL4 GSFI FI05,TL5 GSFI FI05,TL4 GSFI FI09,TL5 GSFI FI09,TL4 GSFI FI091,TL5 GSFI FI091,TL4 GSFI FI091_K,TL5 GSFI FI091_K,TL4 GSFI FI092,TL5 GSFI FI092,TL4 GSFI FI11_12,TL5 GSFI FI11_12,TL4 GSFI FI14_16,TL5 GSFI FI14_16,TL4 GSFI FI15_17,TL5 GSFI FI15_17,TL4 GSFI FI152,TL5 GSFI FI152,TL2 SPEAR(Fam) %,TL4 SPEAR(Sp) %,TL5 SPEAR(Sp) %,SPEAR(pesticides) TL2 fam Knillmann 2018,SPEAR(refuge) TL2 fam Knillmann 2018,SPEAR(pesticides) TL4 sp Knillmann 2018,SPEAR(refuge) TL4 sp Knillmann 2018,SPEAR(pesticides) TL5 sp Knillmann 2018,SPEAR(refuge) TL5 sp Knillmann 2018,TL4 CCI,TL5 CCI,TL2 08 Group ARMI Score,TL2 08 Group ARMI NTaxa,TL2 33 Group WQ Score,TL2 33 Group WQ NTaxa,TL2 33 Group Silt & Flow Score,TL2 33 Group Silt & Flow NTaxa,TL2 14 Group Urban Score,TL2 14 Group Urban NTaxa
RIVPACS IV IOM,1,1,Spring,59.42857,9.71429,6.05614,71.97143,10.28571,6.92314,71.71429,10.28571,6.90571,71.67143,10.28571,6.86514,71.41429,10.28571,6.84757,67.88571,9.71429,6.90114,67.64286,9.71429,6.84729,3.21800,,4.82586,,6.10000,,0.50000,,13.17429,,41.21200,7.78400,7.78400,,,8.75243,,7.27600,,,94.89800,,,96.83286,,5.89486,,6.38686,,5.69143,,0.28357,,1.37657,,1.37657,,0.59286,,0.34586,,0.71557,,1.50000,,0.85714,,0.46186,58.53286,,65.04429,70.41471,95.91843,,,66.74500,95.91371,,8.50314,5.42857,3.00000,15.85714,7.85714,16.71429,7.85714,7.85714,5.00000
RIVPACS IV IOM,1,2,Summer,63.42857,10.57143,5.82257,78.37143,11.57143,6.54114,77.94286,11.57143,6.51943,78.17143,11.57143,6.49243,77.75714,11.57143,6.47129,71.42857,10.57143,6.53829,71.32857,10.57143,6.48929,4.02757,,5.10543,,6.75171,,0.78571,,4.26343,,37.63043,7.47786,7.47786,,,8.28986,,6.91571,,,97.61900,,,99.05014,,5.89329,,5.25329,,5.04586,,-0.01014,,0.99043,,0.99043,,0.57143,,0.77757,,1.42543,,1.97957,,0.89800,,0.56914,49.45014,,48.64871,42.83200,98.24086,,,29.17486,97.97729,,7.96257,6.57143,4.00000,18.42857,9.14286,19.00000,9.14286,9.57143,6.14286
RIVPACS IV IOM,1,3,Autumn,63.42857,10.14286,5.88557,75.70000,10.71429,6.77429,75.41429,10.71429,6.75871,75.90000,10.71429,6.73071,75.61429,10.71429,6.71500,71.37143,10.14286,6.68171,71.61429,10.14286,6.64814,3.63371,,3.65957,,4.83571,,0.57143,,14.20629,,39.77100,7.34557,7.34557,,,8.65800,,6.69529,,,78.57143,,,96.48243,,5.95571,,5.69771,,5.32043,,0.01371,,1.40200,,1.40200,,0.68457,,0.68571,,0.17600,,1.42857,,0.71429,,0.42629,46.95157,,52.85071,61.03143,87.36686,,,52.73486,84.21457,,8.17329,5.00000,3.14286,17.28571,8.00000,17.00000,8.00000,7.42857,5.14286
RIVPACS IV IOM,1,4,Spring & Summer,83.00000,13.28571,6.17043,101.74286,14.42857,6.95857,101.35714,14.42857,6.94343,101.84286,14.42857,6.94857,101.44286,14.42857,6.93200,94.05714,13.28571,6.99829,94.24286,13.28571,6.99114,3.75071,,5.03471,,6.40857,,0.85714,,8.17643,,39.11100,7.78814,7.78814,,,8.56357,,7.07143,,,94.32957,,,96.70229,,5.93014,,5.81114,,5.37629,,0.25471,,1.32286,,1.32286,,0.68029,,0.67786,,1.14857,,1.85714,,1.03214,,0.68157,55.74843,,62.23086,51.84543,97.23871,,,42.90957,97.03243,,9.27686,8.14286,4.57143,19.57143,10.57143,23.00000,10.57143,11.85714,7.28571
RIVPACS IV IOM,1,5,Spring & Autumn,75.28571,12.00000,6.14143,89.61429,12.71429,6.91186,89.34286,12.71429,6.89757,91.57143,12.71429,7.02200,91.27143,12.71429,7.00571,84.51429,12.00000,6.89543,86.41429,12.00000,7.00929,3.41143,,4.81300,,6.07271,,0.71429,,13.06471,,40.39514,7.63029,7.63029,,,8.79357,,7.04857,,,93.12571,,,96.07614,,5.90843,,6.08671,,5.52529,,0.31343,,1.43400,,1.43400,,0.77943,,0.52500,,0.56600,,1.54757,,0.85714,,0.48529,55.02214,,63.78243,68.76429,93.33386,,,64.24114,92.76700,,8.70757,6.42857,3.42857,19.28571,9.28571,20.42857,9.28571,9.42857,5.71429
RIVPACS IV IOM,1,6,Summer & Autumn,83.00000,13.28571,6.04700,100.58571,14.42857,6.74914,100.20000,14.42857,6.73786,102.02857,14.42857,6.81171,101.62857,14.42857,6.79871,92.68571,13.28571,6.76429,94.20000,13.28571,6.83586,3.93157,,4.77643,,6.32529,,0.85714,,6.87371,,38.39914,7.54800,7.54800,,,8.39900,,6.60886,,,90.47614,,,95.53257,,5.96514,,5.29900,,5.09714,,-0.12614,,1.39157,,1.39157,,0.92857,,0.77200,,0.94071,,1.98571,,0.88443,,0.62543,50.92157,,55.66571,47.38200,94.94000,,,35.30257,93.55914,,9.44314,8.14286,4.42857,21.71429,10.71429,23.28571,10.71429,11.71429,7.14286
RIVPACS IV IOM,1,7,"Spring, Summer & Autumn",91.71429,14.42857,6.23143,111.21429,15.71429,6.95443,110.84286,15.71429,6.94343,112.18571,15.71429,7.00029,111.80000,15.71429,6.98743,102.54286,14.42857,6.99571,103.51429,14.42857,7.04457,3.78714,,5.01629,,6.38171,,0.92857,,9.07443,,39.01643,7.72729,7.72729,,,8.63829,,6.87343,,,91.84471,,,95.59729,,5.97029,,5.67543,,5.31329,,0.25357,,1.36986,,1.36986,,0.90014,,0.69814,,0.95700,,1.87614,,1.02529,,0.71457,54.99657,,63.09157,53.57586,95.51100,,,44.81057,94.84643,,9.41357,8.71429,4.57143,20.57143,11.28571,24.28571,11.28571,12.57143,7.42857
RIVPACS IV IOM,2,1,Spring,99.75000,15.25000,6.55300,123.37500,16.75000,7.37400,120.12500,16.50000,7.29650,127.70000,16.75000,7.62600,124.42500,16.50000,7.55000,112.72500,15.25000,7.40075,117.10000,15.25000,7.68575,3.80350,,6.30750,,8.22500,,1.00000,,49.34600,,40.58325,8.28075,8.28000,,,8.90750,,7.01925,,,95.49700,,,98.59825,,6.12925,,5.99650,,5.55100,,0.19350,,1.15700,,1.15700,,1.47800,,0.82650,,0.27325,,1.64425,,1.19450,,1.07300,64.16675,,69.50525,87.73950,98.74525,,,84.72775,98.26775,,10.51200,11.75000,5.00000,28.00000,12.25000,28.75000,12.25000,15.25000,7.50000
RIVPACS IV IOM,2,2,Summer,93.25000,15.00000,6.21925,109.67500,15.75000,6.96175,108.42500,15.75000,6.88400,108.62500,15.75000,6.90200,107.32500,15.75000,6.82050,103.90000,15.00000,6.92900,102.82500,15.00000,6.86200,4.22050,,6.78475,,8.94850,,0.87500,,20.58325,,39.31650,7.91625,7.91625,,,8.47075,,6.46875,,,86.95925,,,96.46150,,6.40700,,5.24100,,5.21825,,0.48575,,1.14050,,1.14050,,1.03575,,1.12625,,1.20725,,1.73200,,1.24400,,0.90850,56.75650,,56.27900,65.44700,84.64175,,,61.15200,80.26950,,7.22350,9.50000,5.25000,25.00000,12.75000,26.00000,12.75000,12.75000,7.75000
RIVPACS IV IOM,2,3,Autumn,84.00000,13.50000,6.17100,97.30000,13.75000,6.98575,94.92500,13.50000,6.95750,98.97500,13.75000,7.12050,96.57500,13.50000,7.09025,94.92500,13.50000,6.95750,96.57500,13.50000,7.09025,4.07275,,6.78600,,8.90125,,1.00000,,46.90650,,40.21875,7.94600,7.95175,,,8.75825,,7.60050,,,96.93125,,,99.36825,,6.17575,,5.86250,,5.49100,,-0.28625,,1.20800,,1.20800,,1.58025,,0.63400,,-0.16525,,1.86350,,1.03850,,0.84225,58.95850,,60.40175,73.46325,89.79925,,,71.87075,84.15700,,10.21375,8.00000,4.50000,24.25000,11.00000,22.50000,11.00000,11.75000,7.50000
RIVPACS IV IOM,2,4,Spring & Summer,116.75000,18.00000,6.47075,143.25000,20.00000,7.16225,139.70000,19.75000,7.07375,146.82500,20.00000,7.34450,143.42500,19.75000,7.26325,129.55000,18.00000,7.18850,133.35000,18.00000,7.40175,4.07375,,6.41900,,8.36275,,1.00000,,38.98925,,39.74075,8.15575,8.14200,,,8.82625,,6.76800,,,92.25775,,,97.74350,,6.23925,,5.70700,,5.42475,,0.13225,,1.13300,,1.13300,,1.41700,,0.87625,,0.64100,,1.75225,,1.14900,,0.98700,61.88250,,69.10200,80.73425,94.26375,,,76.78850,91.69225,,10.44450,14.50000,6.00000,30.75000,14.75000,34.00000,14.75000,18.75000,9.00000
RIVPACS IV IOM,2,5,Spring & Autumn,112.00000,17.50000,6.39825,136.90000,19.00000,7.21025,133.72500,18.75000,7.14275,141.90000,19.00000,7.46900,138.92500,18.75000,7.41350,126.32500,17.50000,7.22450,131.60000,17.50000,7.52325,3.98275,,6.39925,,8.34225,,1.00000,,48.28200,,41.21175,8.08125,8.07050,,,8.90850,,7.06000,,,94.95175,,,98.46525,,6.12000,,5.83525,,5.45625,,0.07750,,1.14400,,1.14400,,1.44175,,0.81450,,0.31875,,1.70925,,1.09375,,0.99500,61.96875,,68.71525,85.23325,96.52725,,,82.10575,95.00825,,10.37875,12.00000,5.00000,29.00000,13.00000,30.00000,13.00000,16.25000,8.00000
RIVPACS IV IOM,2,6,Summer & Autumn,118.50000,18.75000,6.30650,139.60000,19.75000,7.06200,136.47500,19.50000,6.99600,141.55000,19.75000,7.17250,138.35000,19.50000,7.10275,131.95000,18.75000,7.02550,133.85000,18.75000,7.13450,4.17925,,6.74550,,8.88875,,1.00000,,28.09900,,39.80200,7.83825,7.84250,,,8.71375,,6.96275,,,91.43125,,,97.68675,,6.34125,,5.49200,,5.33825,,-0.00475,,1.13475,,1.13475,,1.40650,,0.82725,,0.50950,,1.83350,,1.09125,,0.86350,59.54750,,62.99775,70.11900,86.24750,,,66.65200,81.55800,,9.68475,12.00000,5.75000,30.25000,14.75000,31.75000,14.75000,16.50000,9.00000
RIVPACS IV IOM,2,7,"Spring, Summer & Autumn",127.25000,19.75000,6.42425,154.67500,21.75000,7.10925,151.17500,21.50000,7.02925,159.95000,21.75000,7.35025,156.27500,21.50000,7.26475,141.02500,19.75000,7.13050,146.20000,19.75000,7.39300,4.14825,,6.44300,,8.39000,,1.00000,,39.56400,,40.55275,8.04650,8.04725,,,8.89175,,6.84225,,,92.33225,,,97.70625,,6.21675,,5.63225,,5.37450,,0.09425,,1.12950,,1.12950,,1.38600,,0.84650,,0.57625,,1.77325,,1.09325,,0.93725,61.23050,,68.76900,80.11900,93.28825,,,76.47300,90.30675,,10.42900,14.75000,6.00000,31.00000,15.00000,35.25000,15.00000,20.00000,9.25000
RIVPACS IV IOM,3,1,Spring,100.25000,15.75000,6.36100,121.22500,17.75000,6.85625,116.50000,17.00000,6.86775,122.40000,17.75000,6.90975,117.70000,17.00000,6.92625,108.82500,15.75000,6.92050,110.15000,15.75000,6.99000,4.21400,,6.72100,,8.73125,,1.00000,,33.53275,,42.26125,8.13475,7.99975,,,8.55050,,6.90300,,,92.29625,,,98.87200,,6.33425,,5.64900,,5.42525,,0.16675,,1.15475,,1.15475,,1.39650,,0.83200,,0.32950,,1.53450,,1.26600,,0.83950,54.10775,,62.97575,68.78500,98.33375,,,58.61325,96.15025,,7.02875,12.25000,6.50000,26.25000,13.75000,28.25000,13.75000,16.25000,9.50000
RIVPACS IV IOM,3,2,Summer,105.75000,17.00000,6.17300,123.37500,18.75000,6.58200,121.45000,18.50000,6.55225,123.57500,18.75000,6.58250,121.60000,18.50000,6.54975,111.22500,17.00000,6.51700,111.50000,17.00000,6.52325,4.68675,,7.14575,,9.40400,,0.75000,,11.26350,,40.71500,7.83775,7.79025,,,8.29450,,6.29850,,,80.29975,,,93.78700,,6.24350,,5.12000,,5.09200,,0.18100,,0.83850,,0.83850,,0.54850,,0.68550,,0.70125,,1.37725,,0.95675,,0.88150,41.69400,,45.24350,37.69100,96.22775,,,25.23675,94.05975,,5.78425,11.00000,6.25000,24.25000,14.00000,27.75000,14.00000,16.50000,9.75000
RIVPACS IV IOM,3,3,Autumn,96.50000,16.00000,5.99475,113.82500,17.00000,6.67575,111.25000,16.50000,6.71975,114.05000,17.00000,6.67500,111.35000,16.50000,6.71150,107.70000,16.00000,6.70325,107.85000,16.00000,6.70075,4.30225,,6.55525,,8.66850,,0.87500,,38.28375,,40.64075,7.96175,7.87725,,,8.47250,,6.77300,,,90.89925,,,97.76300,,6.23650,,5.81700,,5.48625,,0.19100,,1.11175,,1.11175,,1.14775,,0.55525,,0.09950,,1.21675,,1.33400,,0.65375,46.05075,,51.50175,66.59600,98.40925,,,64.54900,97.26775,,11.87650,10.25000,6.25000,27.00000,13.50000,27.25000,13.50000,14.75000,9.75000
RIVPACS IV IOM,3,4,Spring & Summer,131.50000,20.50000,6.40825,158.82500,23.50000,6.75975,151.75000,22.50000,6.74250,162.40000,23.50000,6.89850,155.60000,22.50000,6.90200,138.77500,20.50000,6.76975,142.80000,20.50000,6.95550,4.44625,,6.78900,,8.97450,,1.00000,,20.68100,,41.64000,7.92100,7.83025,,,8.59050,,6.64750,,,86.32300,,,96.68950,,6.28125,,5.44300,,5.28950,,0.13575,,0.98250,,0.98250,,1.01125,,0.73500,,0.55975,,1.41700,,1.01700,,0.92300,49.59775,,59.96575,52.95650,97.21825,,,40.64750,94.96775,,6.73900,14.50000,7.00000,30.00000,16.25000,35.50000,16.25000,20.75000,11.00000
RIVPACS IV IOM,3,5,Spring & Autumn,123.75000,19.50000,6.34325,154.27500,22.25000,6.93725,146.72500,21.00000,6.99125,156.22500,22.25000,7.01550,148.47500,21.00000,7.06575,137.27500,19.50000,7.04150,139.17500,19.50000,7.13225,4.13450,,6.60375,,8.66000,,1.00000,,34.56050,,41.82850,8.05975,7.93250,,,8.64125,,6.72325,,,91.96325,,,98.41525,,6.30075,,5.69875,,5.44175,,0.22325,,1.09975,,1.09975,,1.21075,,0.71850,,0.34275,,1.41325,,1.26850,,0.83200,50.90375,,60.89575,68.68700,98.32525,,,59.55300,96.26450,,11.06900,13.75000,7.00000,28.50000,15.25000,32.50000,15.25000,18.75000,10.50000
RIVPACS IV IOM,3,6,Summer & Autumn,133.00000,21.00000,6.33525,161.05000,23.75000,6.80150,153.35000,22.50000,6.83125,162.85000,23.75000,6.87675,155.05000,22.50000,6.90725,143.12500,21.00000,6.83100,144.95000,21.00000,6.91800,4.38925,,6.58150,,8.77475,,1.00000,,16.93375,,40.83125,7.83975,7.75200,,,8.48350,,6.63875,,,85.89800,,,95.93400,,6.19925,,5.53700,,5.31400,,0.06225,,0.97750,,0.97750,,0.88275,,0.62900,,0.43150,,1.37525,,1.01950,,0.87675,45.73650,,53.88825,45.15300,96.62300,,,33.41450,94.45100,,10.57350,13.00000,7.00000,29.00000,16.00000,33.50000,16.00000,19.25000,11.25000
RIVPACS IV IOM,3,7,"Spring, Summer & Autumn",144.75000,22.50000,6.43475,178.77500,26.00000,6.88150,168.80000,24.50000,6.89550,182.10000,26.00000,7.00575,172.32500,24.50000,7.03700,155.82500,22.50000,6.93425,159.52500,22.50000,7.09550,4.28825,,6.63100,,8.79000,,1.00000,,22.90025,,41.56050,7.91650,7.81725,,,8.64300,,6.66350,,,87.42350,,,96.83150,,6.22975,,5.59475,,5.35775,,0.09900,,1.02150,,1.02150,,1.01400,,0.72875,,0.50600,,1.42800,,1.02075,,0.88100,49.12550,,60.54475,55.04600,97.34225,,,43.36275,95.13000,,10.67150,15.25000,7.00000,30.50000,16.75000,36.75000,16.75000,21.25000,11.25000
RIVPACS IV IOM,4,1,Spring,123.33333,19.33333,6.38083,152.05000,21.50000,7.06900,145.61667,20.66667,7.04750,155.56667,21.50000,7.23267,149.00000,20.66667,7.21083,136.68333,19.33333,7.06917,140.20000,19.33333,7.25083,4.05433,,6.72900,,8.91717,,1.00000,,51.46833,,43.26800,8.03400,8.01567,,,8.67600,,6.76167,,,93.10533,,,97.65550,,6.43717,,5.62167,,5.44550,,0.06783,,1.05433,,1.05433,,1.29433,,0.64150,,0.18767,,1.45017,,1.15000,,1.00333,55.11617,,61.50700,75.06900,97.14667,,,70.26600,95.17867,,6.71600,13.66667,6.33333,32.83333,16.00000,35.33333,16.00000,18.50000,10.00000
RIVPACS IV IOM,4,2,Summer,116.66667,19.33333,6.03133,144.26667,21.50000,6.70150,141.10000,21.16667,6.65983,144.31667,21.50000,6.70550,141.03333,21.16667,6.65900,129.10000,19.33333,6.67100,129.15000,19.33333,6.67817,4.41900,,7.36233,,9.76383,,1.00000,,21.13233,,42.91933,7.80400,7.79933,,,8.43517,,6.48250,,,89.10050,,,96.30283,,6.38333,,5.06150,,5.10783,,-0.35867,,0.91183,,0.91183,,1.02567,,0.63950,,0.52183,,1.57700,,1.00167,,0.75850,43.02433,,46.12750,46.40583,94.68883,,,33.59950,92.06017,,5.26967,12.33333,6.83333,29.16667,16.00000,32.66667,16.00000,18.00000,10.50000
RIVPACS IV IOM,4,3,Autumn,124.33333,20.16667,6.14267,151.10000,22.33333,6.76900,144.90000,21.33333,6.79367,153.16667,22.33333,6.85017,146.91667,21.33333,6.87583,137.41667,20.16667,6.81100,139.51667,20.16667,6.90317,4.29500,,7.02183,,9.33617,,0.83333,,39.30300,,41.37183,7.73100,7.71267,,,8.38633,,6.72083,,,89.02667,,,95.30700,,6.27217,,5.34100,,5.22800,,-0.23900,,0.91283,,0.91283,,1.30667,,0.58850,,-0.05383,,1.53917,,1.05100,,0.59467,47.24650,,50.75383,65.92250,95.92700,,,60.77933,92.18850,,9.71950,11.16667,6.33333,34.33333,16.66667,34.50000,16.66667,16.50000,10.50000
RIVPACS IV IOM,4,4,Spring & Summer,143.83333,22.66667,6.35217,179.88333,25.83333,6.96950,172.23333,24.83333,6.94650,184.60000,25.83333,7.15333,176.76667,24.83333,7.13017,158.40000,22.66667,6.99217,162.98333,22.66667,7.19650,4.22550,,6.91667,,9.22017,,1.00000,,38.82883,,42.49300,8.03383,8.01683,,,8.75650,,6.69283,,,91.97433,,,97.17800,,6.35500,,5.40633,,5.29417,,-0.22167,,0.95583,,0.95583,,1.24667,,0.64867,,0.48383,,1.50483,,1.05017,,0.91667,51.30733,,59.63183,62.18367,96.18100,,,53.30600,94.19017,,6.72167,16.66667,7.00000,33.33333,17.66667,39.83333,17.66667,23.33333,11.00000
RIVPACS IV IOM,4,5,Spring & Autumn,146.00000,23.00000,6.36067,179.75000,25.83333,6.97800,171.53333,24.66667,6.97683,185.50000,25.83333,7.20050,177.43333,24.66667,7.21683,161.03333,23.00000,7.01883,167.06667,23.00000,7.28133,4.23283,,6.74817,,8.98617,,1.00000,,49.39750,,42.08767,7.93067,7.90650,,,8.67117,,6.71667,,,91.09283,,,96.60800,,6.29267,,5.57533,,5.36867,,-0.11933,,0.97083,,0.97083,,1.25300,,0.61150,,0.32883,,1.52000,,1.06600,,0.90950,52.72800,,61.23850,73.43383,96.51533,,,68.56267,93.88550,,9.30083,15.00000,6.50000,35.50000,17.66667,38.83333,17.66667,21.50000,10.83333
RIVPACS IV IOM,4,6,Summer & Autumn,147.00000,23.66667,6.21733,181.16667,26.66667,6.79833,174.16667,25.66667,6.79200,185.20000,26.66667,6.94933,178.06667,25.66667,6.94350,161.51667,23.66667,6.82817,165.51667,23.66667,6.99617,4.37450,,7.22300,,9.62767,,1.00000,,27.16983,,41.82300,7.80183,7.76917,,,8.51317,,6.57900,,,88.57383,,,95.53917,,6.29517,,5.17783,,5.14333,,-0.37500,,0.92600,,0.92600,,1.21833,,0.61833,,0.31133,,1.56833,,0.99950,,0.75433,46.74533,,52.39033,53.14267,94.97733,,,42.29767,92.05733,,9.48633,15.50000,7.00000,33.50000,18.00000,39.00000,18.00000,22.00000,11.33333
RIVPACS IV IOM,4,7,"Spring, Summer & Autumn",159.50000,25.16667,6.34500,197.45000,28.66667,6.89983,189.16667,27.50000,6.89383,204.03333,28.66667,7.13050,195.56667,27.50000,7.12850,174.68333,25.16667,6.94850,181.01667,25.16667,7.20117,4.30633,,6.83750,,9.16833,,1.00000,,39.59083,,42.09283,7.91650,7.89583,,,8.76883,,6.64600,,,90.45900,,,96.50500,,6.22383,,5.45600,,5.27667,,-0.22567,,0.93450,,0.93450,,1.23417,,0.62433,,0.46983,,1.52550,,1.02317,,0.87350,51.00767,,60.05683,63.63233,96.01133,,,55.26183,93.69767,,9.37833,17.50000,7.00000,34.33333,18.50000,42.33333,18.50000,24.50000,11.50000
RIVPACS IV IOM,5,1,Spring,129.83333,21.66667,5.90983,151.50000,24.00000,6.18500,145.40000,23.16667,6.16150,155.60000,24.00000,6.35300,149.83333,23.16667,6.34700,136.18333,21.66667,6.18017,140.55000,21.66667,6.37267,4.66933,,7.20467,,9.87400,,0.91667,,35.78067,,45.48567,7.48267,7.46650,,,8.24033,,5.78000,,,68.78600,,,85.52683,,6.22850,,4.82550,,4.91967,,-0.37817,,0.19467,,0.20950,,0.88817,,0.30883,,0.14250,,0.69633,,0.86450,,0.56250,38.76117,,41.46150,60.19283,96.42067,,,50.69917,94.21000,,6.30833,13.16667,5.83333,30.50000,17.66667,32.66667,17.66667,20.16667,10.66667
RIVPACS IV IOM,5,2,Summer,101.50000,18.83333,5.33750,116.68333,20.16667,5.70167,113.45000,19.83333,5.65267,118.36667,20.16667,5.75517,115.25000,19.83333,5.71150,107.15000,18.83333,5.62217,108.91667,18.83333,5.68050,5.07967,,7.64017,,10.53450,,1.00000,,15.41550,,44.17083,7.30983,7.30450,,,8.00683,,5.54583,,,65.61300,,,79.55750,,5.98100,,4.68517,,4.75350,,-0.61250,,0.01983,,0.01983,,0.58817,,0.12517,,0.42600,,0.78967,,0.87017,,0.36417,28.55400,,32.87050,51.12050,98.71050,,,33.66083,97.53017,,7.74467,12.16667,5.83333,24.33333,16.16667,28.16667,16.16667,18.33333,10.66667
RIVPACS IV IOM,5,3,Autumn,93.00000,17.16667,5.40783,105.08333,18.16667,5.77117,104.08333,18.00000,5.77067,105.96667,18.16667,5.82450,104.93333,18.00000,5.82417,98.98333,17.16667,5.76600,99.86667,17.16667,5.82483,4.86667,,7.41050,,10.12650,,0.75000,,28.84600,,44.80900,7.59433,7.59517,,,7.90300,,5.95917,,,67.59883,,,84.62500,,5.95033,,4.68183,,4.74067,,-0.65533,,-0.01000,,-0.00583,,0.64167,,0.03967,,0.11583,,0.39733,,0.79633,,0.22350,26.29317,,31.02150,57.82467,99.50217,,,55.47200,98.37250,,5.64050,9.16667,5.00000,26.16667,15.16667,27.50000,15.16667,15.83333,10.00000
RIVPACS IV IOM,5,4,Spring & Summer,148.00000,25.16667,5.83367,173.23333,28.00000,6.11700,165.86667,27.00000,6.08233,177.61667,28.00000,6.27200,170.26667,27.00000,6.24000,154.81667,25.16667,6.10050,159.05000,25.16667,6.26117,4.80717,,7.37550,,10.15417,,1.00000,,25.59650,,44.86433,7.46283,7.44300,,,8.22833,,5.65733,,,67.86650,,,84.61450,,6.12133,,4.80667,,4.87133,,-0.47317,,0.11500,,0.12183,,0.75683,,0.22133,,0.21017,,0.71367,,0.82133,,0.54133,38.45883,,42.45583,56.68900,97.81850,,,44.59733,95.17600,,8.65167,16.16667,6.50000,32.50000,19.66667,36.83333,19.66667,23.00000,12.00000
RIVPACS IV IOM,5,5,Spring & Autumn,141.50000,24.16667,5.83117,167.26667,27.00000,6.15000,159.80000,26.00000,6.10783,171.13333,27.00000,6.28783,163.66667,26.00000,6.25033,148.76667,24.16667,6.13033,152.55000,24.16667,6.28000,4.68617,,7.27967,,9.93400,,1.00000,,35.70167,,44.36617,7.42283,7.43483,,,8.11067,,5.76683,,,68.26000,,,85.54350,,6.08950,,4.79017,,4.85067,,-0.50933,,0.09183,,0.09983,,0.74817,,0.21150,,0.10317,,0.54767,,0.79033,,0.46317,37.35017,,41.68233,59.30900,97.22400,,,55.02500,94.90050,,6.96400,14.00000,6.00000,31.83333,19.00000,33.66667,19.00000,21.50000,11.33333
RIVPACS IV IOM,5,6,Summer & Autumn,129.66667,23.00000,5.64167,149.50000,25.00000,5.97533,145.21667,24.50000,5.92650,151.18333,25.00000,6.04017,146.88333,24.50000,5.99200,136.18333,23.00000,5.92900,137.81667,23.00000,5.99917,4.86650,,7.56150,,10.45033,,1.00000,,19.87567,,43.95167,7.40767,7.40617,,,8.03867,,5.64233,,,66.74833,,,82.90017,,5.98183,,4.67133,,4.74550,,-0.67417,,-0.04533,,-0.04317,,0.59283,,0.07617,,0.24450,,0.65133,,0.73733,,0.37117,31.57817,,35.66100,54.66850,99.10250,,,40.24567,97.90700,,8.19367,14.16667,6.33333,30.16667,18.66667,34.16667,18.66667,21.00000,11.83333
RIVPACS IV IOM,5,7,"Spring, Summer & Autumn",154.83333,26.50000,5.83167,183.75000,29.83333,6.13217,174.98333,28.66667,6.08267,188.20000,29.83333,6.28300,179.45000,28.66667,6.23767,162.11667,26.50000,6.10750,166.40000,26.50000,6.26700,4.77683,,7.35883,,10.17583,,1.00000,,27.08967,,44.34867,7.43750,7.43033,,,8.19383,,5.67250,,,67.97033,,,84.97450,,6.03900,,4.79017,,4.83317,,-0.53783,,0.08750,,0.09333,,0.71283,,0.18850,,0.19033,,0.63717,,0.76983,,0.49117,38.30083,,42.59783,57.33700,98.09083,,,47.96317,95.50750,,9.25867,16.66667,6.50000,33.50000,20.16667,37.50000,20.16667,23.33333,12.16667
